ID,Author,average_rate,first_genre
712,Comte de Lautréamont,,
713,Arthur Schopenhauer,,
714,Euripides,,
715,William Blake,,
716,Amir Hamzah,,
717,J.L. Spohr,,
719,Margaret George,,
720,Leo Tolstoy,,
721,Philippa Gregory,,
722,Alison Weir,,
723,Heather Marie Schuldt,,
724,Alan  Hardy,,
725,Heather Fowler,,
726,Anais Nin,,
727,Federico Garcia Lorca,,
728,Laurence Sterne,,
729,Angela Carter,,
730,Sylvia Plath,,
731,Etgar Keret,,
732,Anne Carson,,
733,Edna St. Vincent Millay,,
734,Tennessee Williams,,
735,Sam Shepard,,
736,S. Yizhar,,
738,مسعود سعد سلمان,,
739,فرخی سیستانی,,
740,ناصر خسرو,,
741,منوچهری دامغانی,,
742,عنصری بلخی,,
743,Sayyid Moussa al-Sadr - سید موسی صدر,,
744,سید محمد حسین طباطبایی,,
745,Allameh Sharafoddin,,
746,Louis Massignon,,
747,Charles de Foucauld,3.38,young adult
748,Jenn Thorson,,
749,P.G. Wodehouse,,
750,Jean Shepherd,,
751,Lewis Carroll,,
752,Liska Jacobs,,
753,John Fante,,
754,Jean Rhys,,
755,Adeline Dieudonné,,
756,Thomas Gunzig,,
757,Allan Massie,,
758,Walter Scott,,
759,Chrystle Fiedler,,
760,Laura Childs,,
761,Diane Mott Davidson,,
762,Elisabeth Barrett,,
763,Nora Roberts,,
764,William Buhlman,,
765,Robert A. Monroe,,
766,Nathan Long,,
767,Raphael Sabatini,,
768,Fritz Leiber,,
769,Karin Shah,,
771,Susan Grant,,
772,Linnea Sinclair,,
773,Meghna Pant,,
774,Yiyun Li,,
775,Aravind Adiga,,
776,Alice Munro,,
777,Murakami,,
778,سي. أس. لويس,,
779,محمد خليفة التونسي,,
780,Christina Haag,,
781,Anton Chekhov,,
782,Edith Wharton,,
783,Margo Catts,,
784,David Wroblewski,,
785,Leif Enger,,
786,Marilynne Robinson,,
787,Mark Salzman,,
788,Kazuo Ishiguro,,
789,Bridgid Pasulka,,
790,Jacqueline Garlick,,
791,Lori Lansens,,
792,Laini Taylor,,
793,Lauren Oliver,,
794,Honoree Corder,,
795,Rhonda Byrne,,
796,Catherine Ponder,,
797,Florence Scovel Shinn,,
798,Tony Robbins,,
799,Napoleon Hill,,
800,Jason Bulmahn,,
801,Gary Gygax,,
802,Geoffrey of Monmouth,,
803,Nennius,,
804,F.J. Hansen,,
805,C.B. Pratt,,
806,A. Lee Martinez,,
807,Tom Holt,,
808,Krista Lynne Jensen,,
809,Rosamunde Pilcher,,
810,Sarah M Eden,,
811,Cinda Williams Chima,,
812,Louisa May Alcott,,
813,Henry A. Giroux,,
814,Zygmunt Bauman,,
815,Simon P. Clark,,
816,David Almond,,
817,Jill Edmondson,,
818,Lawrence Block,,
819,Liz Brady,,
820,Christopher Norris,,
821,Steve Alcorn,,
822,Tracy Kidder,,
823,Amir Atef,,
825,Pablo Ramos,,
826,Juan Rulfo,,
827,Roberto Arlt,,
828,Salinger,,
829,John Cheever,,
830,Eleonora Carta,,
831,Charles Dodd White,,
832,James Salter,,
833,Carson McCullers,,
834,H.G. Chambers,,
835,J.R.R. Tolkein,,
836,Michael Chricton,,
837,Brandon Sanderson,,
838,Joseph Devlin,,
839,John Milton,,
840,William Shakespeare,,
841,Thomas Carlyle,,
842,Michael  West,,
843,Rod Serling,,
844,Ana Paula Maia,,
845,Fyodor Dostoyevsky,,
846,Murray Stein,,
847,C.G. Jung,,
848,Christopher Rankin,,
849,Carlos Castaneda,,
850,Joseph Sweet,,
851,Jack London,,
852,Jourdyn Kelly,,
853,Jørgen Leth,,
